Obat,Kode_Obat,Tanggal_Pembelian,Unit,Harga_Pokok_Pembelian,Harga_Jual,Total_Harga_Pokok,Total_Harga_Jual
Paracetamol 500mg,PAR001,2023-01-15,1000,500,750,500000,750000
Amoxicillin 500mg,AMX001,2023-02-10,800,2000,3000,1600000,2400000
Omeprazole 20mg,OMP001,2023-03-05,600,1500,2250,900000,1350000
Ibuprofen 400mg,IBU001,2023-04-20,700,800,1200,560000,840000
Cefixime 100mg,CFX001,2023-05-12,500,2500,3750,1250000,1875000
Metformin 500mg,MET001,2023-06-18,900,600,900,540000,810000
Salbutamol 2mg,SAL001,2023-07-25,400,1000,1500,400000,600000
Loratadine 10mg,LOR001,2023-08-10,300,1200,1800,360000,540000
Amlodipine 5mg,AML001,2023-09-15,500,1800,2700,900000,1350000
Vitamin C 500mg,VIT001,2023-10-22,1200,300,450,360000,540000